Episode,Score,Average_Score
219,-278.005300146163,-69.38427745458574
220,-26.913563106186526,-66.28198100003928
221,-155.97442545228094,-67.02824195525218
222,-71.15539107929018,-66.00149424922775
223,-166.21358802740951,-66.6853740265173
224,-80.68245297748166,-67.41841061100155
225,-102.22390213623629,-66.17259061470943
226,-202.10335810021786,-67.49470620515973
227,-50.897388369238186,-67.4042680075802
228,-49.780280031405155,-67.07710475428617
229,-253.79544960836392,-69.10960263180228
230,-73.6790382436972,-67.3946860869042
231,-51.99747844747482,-66.89189623592637
232,-75.18333055268782,-65.52728798910346
233,-219.32666938290973,-67.09143707963837
234,-45.99519420467192,-66.87840657610128
235,-132.12072623574147,-68.64287512082144
236,-60.59839820261031,-68.09923913441226
237,-25.764155219104044,-67.70910160944432
238,-95.71960501927663,-67.22450329379801
239,-30.28674989830128,-66.0810892106486
240,-62.67037329400068,-66.1797270889412
241,-282.9187732070659,-68.9358022448713
242,-143.87558043009238,-70.20651520112978
243,-78.97686968992181,-68.62091882765628
244,-95.5491955744994,-68.7872190530218
245,-86.57368278571799,-69.06269099563846
246,169.94450127756312,-66.72069528150664
247,-101.36248694186033,-67.61345117039093
248,-56.96478831571183,-68.11203878404801
249,-48.61214854904723,-68.24762469728672
250,-70.13580845083979,-68.4919601785044
251,16.67699449314724,-67.92660987989116
252,-130.19437811733619,-69.43258317491446
253,-119.34781415375421,-70.20967542227885
254,169.0855153584316,-68.48825345980565
255,-73.93305326235243,-68.74335037059654
256,-108.93376500527717,-69.14554462536483
257,-83.04856558098233,-69.52920212324743
258,184.01556240548416,-66.61209280315701
259,-95.65341278605122,-67.15386255830788
260,131.8566825726613,-64.64923194691112
261,-84.94710440039876,-65.91121333311666
262,-100.67749882513226,-66.37897597377045
263,-114.70006644886087,-66.4232201332175
264,-127.00647963466717,-67.2359366503331
265,148.9435358905224,-67.16696626261628
266,-79.19698698092361,-66.832814291605
267,-135.5403002684637,-67.37090279514331
268,169.75138280994634,-64.81553328552194
269,-256.5852436635954,-68.22608919463131
270,-2.169923503797037,-66.46789756384251
271,204.85161979178412,-63.478802586416826
272,-113.81766991128404,-64.10681284453239
273,-94.28290878197095,-62.53979165009939
274,185.49414545744446,-59.72752069908545
275,-89.01572419605579,-60.30427834491951
276,-74.92113595789752,-59.99224847348605
277,-114.3332624237214,-60.0775883528516
278,-144.81777051251888,-61.11965381465617
279,-49.43162866569566,-62.6626788989892
280,-78.3647479336873,-64.67727772528447
281,-101.19884653698156,-64.48631931807574
282,-96.47057158828837,-64.35826506683924
283,182.85594017503774,-62.325692792659574
284,-42.355109963372925,-61.98062751798172
285,-99.09754287304833,-64.7633024546311
286,98.87971360686385,-62.82058751942526
287,-87.82251298503571,-62.140035004539726
288,131.81104999012533,-62.96615826918495
289,-137.5999786845151,-63.34844971216476
290,156.63450946422986,-63.47558933435984
291,153.51445892926566,-61.155773887002034
292,-79.98244217447306,-60.10516733663627
293,136.0283348009874,-58.36099380638251
294,-80.86669515117607,-58.89361983068177
295,-112.13879411498765,-59.60068256645744
296,26.05123058058035,-58.56989995249429
297,-282.39875084785376,-60.53969844127387
298,-81.12512099441179,-59.93028372784712
299,-127.50806189864338,-61.41108993414715
300,-71.94551918746615,-61.78244109354329
301,60.1351738638739,-60.53145977919602
302,189.72447203491623,-57.69036063381387
303,44.85419396846712,-55.50595181416624
304,150.34516016855386,-53.39513315597142
305,177.06804543089044,-50.82333692028262
306,203.30701483689137,-50.663863291527676
307,197.36290815872417,-47.98000460772372
308,-104.06486086334262,-47.99270613228177
309,180.1451218678859,-45.50555478761956
310,-131.43583763711317,-45.5056065170532
311,182.05596303057854,-42.570987244979406
312,153.16552028360513,-39.55429358556006
313,-65.69225508557147,-39.27675666794417
314,-95.25405689324195,-38.772507626902986
315,-476.6414649556878,-42.66801979746585
316,210.30278901929358,-40.041801373993366
317,211.26801083657188,-36.58778212416903
318,178.24242052889625,-34.162020434959175
319,261.5252304504554,-28.76671512899298
320,175.90089850675076,-26.73857051286361
321,173.0592773391503,-23.448233484949306
322,181.58070708029834,-20.920872503353422
323,-301.0784248450444,-22.269520871529767
324,-18.447896242607204,-21.64717530418103
325,-50.024648358406225,-21.125182766402723
326,-81.14412539496075,-19.915590439350154
327,-50.89283488486516,-19.915544904506422
328,182.786449867094,-17.58987760552143
329,239.88027447786848,-12.65312036465911
330,131.53463805933052,-10.60098360162883
331,111.58408921559221,-8.96516792499816
332,111.29453684924894,-7.10038925097879
333,13.739590782690012,-4.7697266493227914
334,215.531595025689,-2.1544587570191807
335,-13.464587880405396,-0.9678973734658208
336,147.55775859023916,1.1136641944626735
337,-123.30675204341028,0.1382382262196134
338,30.10016922127554,1.3964359686251344
339,-50.45933261121686,1.1947101414959789
340,272.56812633586094,4.547095137794595
341,148.43002718550065,8.860583141720259
342,219.42578441178136,12.493596790138994
343,223.52627902764186,15.518628277314633
344,178.9519128001068,18.263639361060697
345,175.03456812709348,20.87972187018881
346,-42.48728606635936,18.755403996749585
347,211.96854805932117,21.8887143467614
348,196.1268387159439,24.41963061707796
349,218.3579228142394,27.08933133071082
350,173.20619027210677,29.522751317940287
351,-87.64903990502755,28.479490973958537
352,179.27332183883323,31.574167973520233
353,-198.21658862177213,30.785480228840047
354,213.64807470914798,31.231105822347217
355,207.68068667666796,34.047243221737425
356,-30.540083586645874,34.83118003592373
357,217.5836800897514,37.83750249263107
358,135.78505236685635,37.35519739224479
359,52.574661338093506,38.83747813348624
360,221.28208481524536,39.731732155912084
361,165.28715148291099,42.23407471474518
362,237.63750586613224,45.61722476165782
363,191.3385065325857,48.677610491472294
364,166.77233615525145,51.615398649371485
365,166.46817853069382,51.79064507577319
366,206.99627608445536,54.65257770642698
367,238.1821581788304,58.38980229089992
368,194.97953681972433,58.642083830997706
369,168.0797009073023,62.88873327670669
370,164.837018393119,64.55880269567585
371,176.55121059337023,64.27579860369171
372,-94.18760757287872,64.47209922707574
373,239.11298266630013,67.80605814155847
374,-312.3772123051333,62.827344563932684
375,134.23519140343723,65.05985371992762
376,-81.17980653246029,64.99726701418199
377,-0.8393567695268018,66.13220607072394
378,-59.84325554540651,66.98195122039506
379,204.50091766445553,69.52127668369657
380,196.40644902125075,72.26898865324596
381,268.6530805222506,75.96750792383827
382,194.23846253025079,78.87459826502366
383,122.60832765268638,78.27212213980016
384,270.37253774947976,81.39939861692868
385,-33.933026084725654,82.0510437848119
386,267.63630024061155,83.73860965114937
387,185.13913649468614,86.46822614594662
388,-178.7863003338436,83.36225264270692
389,163.5580269643402,86.37383269919546
390,188.89338667101052,86.69642147126325
391,211.5176572927217,87.27645345489782
392,226.87387152019141,90.34501659184446
393,237.3097848547435,91.35783109238201
394,262.4009656595075,94.79050770048887
395,205.72315659087354,97.96912720754749
396,268.6057356311568,100.39467225805328
397,216.24367038555752,105.38109647038738
398,256.3079187205248,108.75542686753674
399,220.54433408646292,112.23595082738778
400,-246.00718188675827,110.49533420039486
401,28.59196602662193,110.17990212202234
402,178.09197474953817,110.06357714916857
403,213.6476181771556,111.75151139125546
404,261.62771752265013,112.86433696479641
405,248.13356327896003,113.5749921432771
406,209.56267188296593,113.63754871373783
407,253.45643529663016,114.19848398511691
408,125.4433512971691,116.49356610672203
409,238.10600939865887,117.07317498202976
410,193.18807433645839,120.31941410176547
411,155.7486150163059,120.05634062162272
412,157.71911190384793,120.10187653782518
413,-270.6911919741625,118.05188716893925
414,189.53411411266762,120.89976887899837
415,271.1145862000992,128.3773293905562
416,-86.91163029468831,125.40518519741643
417,-25.30226794188917,123.03948240963182
418,206.63283411343255,123.32338654547716
419,194.07785178676173,122.64891275884021
420,230.2351438987938,123.19225521276064
421,-138.41995362445476,120.07746290312461
422,243.12176129880513,120.69287344530969
423,215.35736855122758,125.85723137927242
424,147.10587661945976,127.51276910789309
425,-60.69484106370672,127.4060671808401
426,-266.93777963159573,125.54813063847371
427,235.79988726727558,128.41505785999513
428,212.41972208590443,128.7113905821832
429,251.42478438069062,128.82683568121146
430,-166.1500102358854,125.84998919825928
431,242.24726555218416,127.1566209616252
